Original DOI,Citing_DOI,Title,Abstract,Authors,Authors Affiliation,Journal,Published Year
10.1002/ppap.201600098,10.1088/1361-6595/adacd5,characterization of uncertainties in electron argon collision cross sections,"the predictive capability of a plasma discharge model depends on accurate representations of electron impact collision cross sections, which determine the corresponding reaction rates and electron transport properties. the values of cross sections can be known only approximately either through experiments or simulations and are thus subject to uncertainties. quantifying the uncertainties in plasma simulations allows us to assess the reliability of simulations and to provide a basis for interpreting discrepancies between simulations and experiments. for such uncertainty quantification of plasma simulations, it is essential to quantify the uncertainties of the underlying cross sections. although much effort has been committed to calibrate the cross section values, their uncertainties are not well investigated. we characterize uncertainties in electron argon atom collision cross sections using a bayesian framework. six collision processes elastic momentum transfer, ionization, and four excitations are characterized with semi empirical models, which effectively capture the features important to the macroscopic properties of the plasma. a probability model for the uncertain parameters of these semi empirical models is developed. specifically, a gaussian process likelihood model is proposed to capture discrepancies among data sets, as well as the model form inadequacies of the semi empirical models. two other likelihood models are compared with the proposed gaussian process model, to illustrate the importance of the choice of the likelihood model. the cross section models are calibrated using the electron beam experiments and ab inito quantum simulations. the resulting calibrated uncertainties capture well the scattering among the data sets. the calibrated cross section models are further validated against swarm parameter experiments and zero dimensional boltzmann equation simulations of widely used cross section datasets.","Chung, Seung Whan;Oliver, Todd A.;Raja, Laxminarayan L.;Moser, Robert D.",oden institute for computational engineering and sciences;cockrell school of engineering,plasma sources science and technology,2025
10.1002/ppap.201600098,10.1088/1361-6595/adb178,electron density measurements and calculations in a helium capacitively coupled radio frequency plasma,"we report a comparison of inferred electron density ( n e ) in a he capacitively coupled plasma, deduced from laser collision induced fluorescence measurements, with values computed using a hybrid simulation framework based on particle in cell/monte carlo collisions simulations and a fluid model for excited he atoms. the studies were carried out for gas pressures between 50 mtorr and 1000 mtorr and peak to peak radio frequency (13.56 mhz) voltages between 150 v and 350 v, in a highly symmetric source equipped with plane parallel electrodes. a good agreement is found between the experimental and modeling results for n e except at the lowest operating voltages and gas pressures. the (effective) electron temperature ( t e ) values derived by the two methods agree as well reasonably within the plasma bulk. the simulation results are used to compare the density distributions of he+ and various he excited levels and their major populating and de populating channels at 100 mtorr and 1000 mtorr.","Bentz, Brian Z.;Hartmann, Peter;Derzsi, Aranka;Youngman, Kevin;Donkó, Zoltán","sandia national laboratories, new mexico;wigner research centre for physics",plasma sources science and technology,2025
10.1002/ppap.201600098,10.1016/j.jece.2024.114977,degradation of toluene via dbd: detailed kinetic reaction mechanism,"the degradation of toluene via dielectric barrier discharge(dbd) has been extensively studied experimentally, however, the reaction mechanism remains elusive, with a dearth of theoretical research. this paper focuses the reaction mechanism of toluene degradation by dbd, developing a detailed kinetic model that encompasses 122 species and 688 reactions. through the inference of intermediate products from experimental, 661 reactions involving heavy species were established. finding a lowest energy reaction path for toluene open loops in conjunction with transition state(ts) theory. detailed kinetic modelling was carried out to explore the factors affecting toluene degradation. the main species degrading toluene was found to be oh, followed by o. the degradation rate of toluene was substantially increased by humid carrier gas. the main degradation pathway of toluene is dehydrogenation from methyl groups, conversion to six membered rings, five membered rings, and finally ring opening degradation. simulation to explore species distribution in a reactor. electron and excited state densities are predominantly in the intermediate region, and contaminant and carrier gas densities are predominantly in the vicinity of the electrodes. increasing the inlet air temperature makes the plasma discharge more uniform and the toluene degradation more complete.","Cui, Lixin;Li, Yifu;Lei, Qi;Si, Peizhuang;Feng, Yifei;Liu, Chang;Meng, Chaoyue;Han, Fenglei",china university of petroleum (east china);ltd.;petrochina coalbed methane company limited,journal of environmental chemical engineering,2025
10.1002/ppap.201600098,10.1088/1361-6463/ad8bd5,on the in situ determination of the effective secondary electron emission coefficient in low pressure capacitively coupled radio frequency discharges based on the electrical asymmetry effect,"we present a method for the in situ determination of the effective secondary electron emission coefficient (seec, ) in a capacitively coupled plasma (ccp) source based on the dependence of the dc self bias voltage that develops over the plasma due to the electrical asymmetry effect (eae). the eae is established via the simultaneous application of two consecutive radio frequency harmonics (with a varied phase angle) for the excitation of the discharge. following the measurement of the dc self bias voltage experimentally, particle in cell/monte carlo collision simulations coupled with a diffusion reaction radiation code to compute the argon atomic excited level dynamics are conducted with a sequence of seec values. the actual for the given discharge operating conditions is found by searching for the best match between the experimental and computed values of the dc self bias voltage. the 0.07 values obtained this way are in agreement with typical literature data for the working gas of argon and the electrode material of stainless steel in the ccp source. the method can be applied for a wider range of conditions, as well as for different electrode materials and gases to reveal the effective seec for various physical settings and discharge operating conditions.","Masheyeva, Ranna;Hartmann, Peter;Luo, Lan Yue;Dzhumagulova, Karlygash;Liu, Yong Xin;Schulze, Julian;Donkó, Zoltán",satbayev university;al farabi kazakh national university;dalian university;tsinghua university;ruhr universitat bochum;wigner research centre for physics,journal of physics d: applied physics,2025
10.1002/ppap.201600098,10.46813/2025-155-117,plasma conversion of co 2 in rf capacitive discharge with distributed gas injection and extraction,"in this paper, the process of plasma conversion of carbon dioxide in a discharge chamber with gas inlet and outlet distributed over the electrode surface is investigated. the experiments were carried out in a radio frequency capacitive discharge (13.56 mhz) in the carbon dioxide pressure range of 0.015 5 torr. mass spectrometry and optical emission spectroscopy were used to analyze the process of plasma conversion of co2. with the proper correction of readings, both methods give close results. it is shown that the conversion coefficient can reach 70 and decreases with increasing gas pressure. the energy efficiency of conversion is 1 2 at low rf discharge voltages, but with a further increase in rf voltage, it decreases. the reason for this is the elevated losses of the power dissipated in the discharge due to the acceleration of positive ions in the near electrode sheaths, heating the gas and electrodes, as well as power losses for excitation and ionization of the conversion products (co and o), which worsens the energy efficiency of conversion.","Lisovskiy, V.;Dudin, S.;Platonov, P.;Yegorenkov, V.",v. n. karazin kharkiv national university,problems of atomic science and technology,2025
10.1002/ppap.201600098,10.1088/1361-6595/adab8e,pic/fluid simulations of the plasma expansion in a planar magnetic arch,"magnetic arches (ma) (i.e. the magnetic topology that emerges when placing two magnetic nozzles with opposite polarities side by side) are an attractive option for the clustering of multiple electrodeless plasma thrusters, as they are characterized by a zero magnetic dipole moment and thus allow a reduction of perturbing magnetic forces on the spacecraft. this work employs the hybrid code ep2plus to simulate and study the plasma expansion for such a magnetic topology in the planar limit. first, a reference simulation is used to analyze the leading physical mechanisms that govern the plume properties. ions are thus found to be characterized by a double peaked velocity distribution function close to the symmetry plane, where the plasma beams emitted by the two thrusters merge, while the magnetic force acting on electrons is shown to shape both the lateral confinement of the plume, and the thrust profile provided. second, a parametric sweep on the strength of the magnetic field shows that its influence on the propulsive properties and on the characteristics of the plume saturates for values of the hall parameter larger than around 10. beyond this value of the hall parameter, only the in plane electron currents are found to be particularly sensitive both to the magnetization levels and the boundary conditions employed, although they are also largely decoupled from the rest of plasma properties. finally, background pressure effects were considered by including collisions with neutral atoms in the simulations, highlighting the relevance of neutral entrainment in the modification of the plume properties and in the propulsive performance of the ma.","Guaita, M.;Ahedo, E.;Merino, M.",universidad carlos iii de madrid,plasma sources science and technology,2025
10.1002/ppap.201600098,10.1063/5.0241527,step by step verification of particle in cell monte carlo collision codes,"the particle in cell (pic) method with monte carlo collisions (mcc) is widely used in the simulation of non equilibrium plasmas for electric propulsion and laboratory applications. due to the simplicity of the basic pic algorithm and the specific modeling needs of the different research groups, many codes have been independently developed. verification of these codes, i.e., ensuring that the computational code correctly implements the intended mathematical models and algorithms, is of fundamental importance. different benchmark cases, such as one from turner et al. phys. plasmas 20, 013507 (2013) , charoy et al. plasma sources sci. technol. 28, 105010 (2019) , and villafana et al. plasma sources sci. technol. 30, 075002 (2021) , have been published in recent years. these have consisted of a complex physical setup, in which many computation modules interact to yield the final result. although this approach has the advantage of testing the code in a realistic case, it may hide some implementation errors. moreover, in the case of disagreement, the previous works do not provide an easy way to identify the faulty code modules. in this work, we propose a step by step approach for the verification of pic mcc codes in a 2d 3v electrostatic setup. the criteria for the test cases are (i) they should highlight possible implementation errors by testing the modules separately, whenever possible (ii) they should be free from physical instabilities to avoid chaotic behavior, and (iii) the numerical result should be accompanied by analytical calculations, for confirmation purposes. the seven test cases identified all show excellent agreement between the authors' codes.","Parodi, Pietro;Petronio, Federico",von karman institute for fluid dynamics;ku leuven;école polytechnique;sorbonne université,physics of plasmas,2025
10.1002/ppap.201600098,10.1007/s11090-024-10533-0,plasma and flow simulation of the ion wind in a surface barrier discharge used for gas conversion benchmarked by schlieren imaging,"surface dielectric barrier discharges (sdbd) are efficient and scalable plasma sources for plasma based gas conversion. one prominent feature of an sdbd is the generation of an ion wind, which exerts a force on the neutrals, thus leading to an efficient mixing of plasma and a passing gas stream. this becomes apparent by the creation of upstream and downstream vortices in the vicinity of the plasma. in this study, these vortices are generated by high voltage burst pulses consisting of two half cycles of an almost sinusoidal voltage shape. the vortices are monitored by schlieren imaging diagnostic to benchmark and connect two simulations of the sdbd: a plasma model simulating a streamer for 25 ns starting from the electrode and propagating along a dielectric surface followed by a decay. the streamer is the source of electrical charges accelerated as ion wind by the applied electric field from the sdbd power supply. a second flow simulation models this ion wind as a time averaged thrust acting on the passing gas stream. the conversion of the time resolved forces from the nanosecond plasma simulation into the steady state thrust in the flow simulation indicates that the force from the plasma lasts much longer than the actual streamer propagation phase. this is explained by the fact that the charges in the streamer channel remain present for almost 100 ns, and the voltage from the power supply lasts for a few microseconds being applied to the electrode so that ions in the streamer channel are still accelerated even after a streamer stops to propagate after a few ns. the thrust generated during the streamer phase, including the relaxation phase, agrees well with predictions from flow simulation. additionally, properly converting the time resolved forces from the plasma simulation into a time averaged thrust for the flow simulation yields exactly the synthetic schlieren images as measured in the experiments.","Mohsenimehr, S.;Wilczek, S.;Mussenbrock, T.;Keudell, A. von",ruhr universitat bochum;technische fachhochschule georg agricola,plasma chemistry and plasma processing,2025
10.1002/ppap.201600098,10.1016/j.asr.2025.03.061,atmociad: the atomic and molecular cross section for ionization and aurora database,"studying aurora and airglow in planetary atmospheres necessitates an accurate understanding of atomic and molecular cross sections for ionization, excitation, and dissociation. however, model inter comparisons often result in discrepancies due to differences in cross section input data rather than the underlying physical approximations. to address this issue, we introduce the atomic and molecular cross section for ionization and aurora database, atmociad, a comprehensive database of cross sections for the main atmospheric species in the solar system, and beyond. atmociad currently includes photon and electron impact data, with ongoing efforts to expand coverage to proton and hydrogen impacts. by incorporating cross sections from various sources and providing set recommendations based on energy loss computations, atmociad offers a more consistent and reliable foundation for studying the interactions between stellar radiation and planetary atmospheres.","Gronoff, Guillaume;Simon Wedlund, Cyril;Hegyi, Bradley;Lilensten, Jean;Glocer, Alex;Cessateur, Gaël;Witasse, Olivier;Mertens, Christopher J.","institut de planétologie et d’astrophysique de grenoble (ipag);royal belgian institute for space aeronomy;estec european space research and technology centre;institut fur weltraumforschung;nasa goddard space flight center;science systems and applications, inc. (ssai);nasa langley research center;analytical mechanics and associates",advances in space research,2025
10.1002/ppap.201600098,10.1007/s11090-025-10563-2,investigation of capacitively coupled radio frequency argon plasma: integration of in situ optical diagnostics with data driven and theoretical modeling,"we utilized a combination of experimental alongside data driven and theoretical modelling techniques to study non thermal plasma properties and observables including optical emission spectral intensities, electron temperature, species concentrations, degree of ionization, and reaction rates. as a case study we measured the plasma properties of argon gas in the low pressure regime using optical emission spectroscopy (oes) while varying plasma input power and gas flow rate. we used data driven and drift diffusion modeling techniques to obtain complementary information, including electron temperature, reduced electric field, and species densities. the calculated density number of excited argon has a linear correlation to measured emission intensity, and we found that the dominant effect on ar i intensity is the applied power with the gas flow (or pressure) the secondary factor (77 and 20 , respectively). the electron temperature increases with power but decreases with flow (or pressure). combining the measured and modelling results help to understand the cold plasma dynamics and chemistry towards more complex plasma chemistry applications.","Atlas, Sharona;Har Lavan, Shani;Kaplan, Amir;Lehrer, Avi;Rozenberg, Illya;Zhao, Hao;Baraban, Joshua H.",nuclear research center negev;ben gurion university of the negev;peking university,plasma chemistry and plasma processing,2025
10.1002/ppap.201600098,10.2514/6.2025-0602,2d modeling of plasma streamer and glow phases at ammonia air flame conditions,"streamer and glow plasma phases have been modeled at two thermochemical states of an ammonia air flame: fresh reactants and burnt products. a new amrex based solver has been verified against benchmarks in the literature and has been used to perform these simulations. a helmholtz equation based photo ionization model with parameters accounting for the presence of nh3 in air has been coupled with the solver to accurately model the streamer propagation phase. a detailed plasma kinetics mechanism has been compiled and used to predict the evolution of electrons, excited states, ions, and radicals during streamer propagation and glow formation. the propagation velocity of streamers was found increase by almost two fold when the mixture was changed from the fresh reactants to the burnt products. moreover, vibrational excitation was found to be limited to the streamer body, whereas ionization predominantly occurred at the streamer head, as is expected. finally, the differences in the pathways of o and h radical production during the streamer propagation and glow phases have been briefly discussed.","Taneja, Taaresh Sanjeev;Johnson, Praise Noah;Yang, Suo;Sitaraman, Hariswaran;Deak, Nicholas",college of science and engineering;national renewable energy laboratory,"aiaa science and technology forum and exposition, aiaa scitech forum 2025",2025
10.1002/ppap.201600098,10.2514/6.2025-0166,phenomenological modeling of plasma assisted methane ignition using plasma energy fraction manifolds,"the present work advances a phenomenological plasma assisted combustion model by implementing spatiotemporally varying plasma energy fractions for fast gas heating, vibrational energy excitation, and fast chemical dissociation of gas species. this is achieved through a 2d manifold of plasma energy fractions generated for varying reduced electric fields (e/n) and the thermochemical state of the gas mixture, represented by a progress variable, forming a 2d manifold of energy fractions. the manifold is generated using 0d calculations with a detailed chemical mechanism for plasma assisted combustion of methane at e/n ranging from 100 to 500 td and progress variable ranging from 0 (fresh gas mixture) to 1 (burned gas mixture), and is integrated into the phenomenological model. additionally, a spatiotemporally evolving plasma power density (ppd) obtained from 2d detailed plasma simulations for an air discharge is accommodated in the phenomenological model to describe the evolution of the plasma streamer during discharge. this enhanced model is validated against experiments representing plasma discharge and post discharge ignition kernel evolution. specifically, the present model is compared against experimental ultra fast gas heating and o2 dissociation during plasma discharge, in addition to experimental pressure wave and heated channel radius. the present model is then utilized to investigate ignition kernel evolution for a methane air discharge across a pin pin discharge configuration. specifically, the plasma evolution and the evolution of the post discharge ignition kernel for a stoichiometric methane air plasma discharge that utilizes the accommodated spatiotemporal ppd are compared against the results obtained using the original phenomenological model.","Noah Johnson, Praise;Taneja, Taaresh Sanjeev;Sun, Zongxuan;Yang, Suo;Kim, Kenneth S.;Kweon, Chol Bum M.",college of science and engineering;united states army,"aiaa science and technology forum and exposition, aiaa scitech forum 2025",2025
10.1002/ppap.201600098,10.1088/1361-6455/ad4243,electron molecule collision calculations: a primer,"electron molecule collisions drive many natural phenomena and are playing an increasing role in modern technologies. over recent years, studies of the collision processes have become increasingly driven by quantum mechanical calculations rather than experiments. this tutorial surveys important issues underlying the physics and theoretical methods used to study electron molecule collisions. it is aimed at nonspecialists with suitable references for further reading for those interested and pointers to software for those wanting to perform actual calculations.","Tennyson, Jonathan",quantemol ltd;university college london,"journal of physics b: atomic, molecular and optical physics",2024
